"country","continent","decade","year","income","emission","emissions_per_income.x","average_carbon_intensity"
"Albania","Europe","1970s",1972,2050,866,0.422439024390244,0.402664576802508
"Albania","Europe","1970s",1973,2150,763,0.354883720930233,0.402664576802508
"Albania","Europe","1970s",1977,2160,924,0.427777777777778,0.402664576802508
"Albania","Europe","1970s",1971,1980,785,0.396464646464646,0.402664576802508
"Albania","Europe","1970s",1976,2160,891,0.4125,0.402664576802508
"Albania","Europe","1970s",1970,1910,NA,NA,0.402664576802508
"Albania","Europe","1970s",1975,2150,827,0.384651162790698,0.402664576802508
"Albania","Europe","1970s",1974,2150,777,0.361395348837209,0.402664576802508
"Albania","Europe","1970s",1978,2170,1010,0.465437788018433,0.402664576802508
"Albania","Europe","1970s",1979,2170,864,0.39815668202765,0.402664576802508
"Albania","Europe","1980s",1989,2250,896,0.398222222222222,0.440316027088036
"Albania","Europe","1980s",1980,2180,1150,0.527522935779816,0.440316027088036
"Albania","Europe","1980s",1984,2210,1020,0.461538461538462,0.440316027088036
"Albania","Europe","1980s",1981,2190,989,0.451598173515982,0.440316027088036
"Albania","Europe","1980s",1982,2200,967,0.439545454545455,0.440316027088036
"Albania","Europe","1980s",1985,2220,917,0.413063063063063,0.440316027088036
"Albania","Europe","1980s",1986,2230,964,0.432286995515695,0.440316027088036
"Albania","Europe","1980s",1983,2200,1000,0.454545454545455,0.440316027088036
"Albania","Europe","1980s",1987,2230,922,0.413452914798206,0.440316027088036
"Albania","Europe","1980s",1988,2240,928,0.414285714285714,0.440316027088036
"Albania","Europe","1990s",1993,1650,412,0.24969696969697,0.2464859437751
"Albania","Europe","1990s",1995,2050,417,0.203414634146341,0.2464859437751
"Albania","Europe","1990s",1994,1800,441,0.245,0.2464859437751
"Albania","Europe","1990s",1990,2270,813,0.358149779735683,0.2464859437751
"Albania","Europe","1990s",1992,1500,418,0.278666666666667,0.2464859437751
"Albania","Europe","1990s",1998,2260,427,0.188938053097345,0.2464859437751
"Albania","Europe","1990s",1996,2260,448,0.198230088495575,0.2464859437751
"Albania","Europe","1990s",1999,2260,576,0.254867256637168,0.2464859437751
"Albania","Europe","1990s",1997,2260,385,0.170353982300885,0.2464859437751
"Albania","Europe","1990s",1991,1610,573,0.355900621118012,0.2464859437751
"Albania","Europe","2000s",2007,2770,680,0.245487364620939,0.266167192429022
"Albania","Europe","2000s",2001,2260,597,0.264159292035398,0.266167192429022
"Albania","Europe","2000s",2003,2370,648,0.273417721518987,0.266167192429022
"Albania","Europe","2000s",2000,2260,580,0.256637168141593,0.266167192429022
