symbol,date,monthly.returns
AAPL,1/31/14,-0.094969012
AAPL,2/28/14,0.057511056
AAPL,3/31/14,0.019953141
AAPL,4/30/14,0.099395796
AAPL,5/30/14,0.078709736
AAPL,6/30/14,0.027661791
AAPL,7/31/14,0.028731352
AAPL,8/29/14,0.077508786
AAPL,9/30/14,-0.017073148
AAPL,10/31/14,0.071960199
AAPL,11/28/14,0.105978687
AAPL,12/31/14,-0.07189099
AAPL,1/30/15,0.061424118
AAPL,2/27/15,0.100776463
AAPL,3/31/15,-0.031371489
AAPL,4/30/15,0.005786374
AAPL,5/29/15,0.04533883
AAPL,6/30/15,-0.037227313
AAPL,7/31/15,-0.032926587
AAPL,8/31/15,-0.066196373
AAPL,9/30/15,-0.021816191
AAPL,10/30/15,0.083408877
AAPL,11/30/15,-0.00580429
AAPL,12/31/15,-0.110228193
AAPL,1/29/16,-0.075242309
AAPL,2/29/16,-0.001287822
AAPL,3/31/16,0.127210978
AAPL,4/29/16,-0.139921155
AAPL,5/31/16,0.071772806
AAPL,6/30/16,-0.042659602
AAPL,7/29/16,0.090062777
AAPL,8/31/16,0.023651755
AAPL,9/30/16,0.06550446
AAPL,10/31/16,0.004334165
AAPL,11/30/16,-0.021600913
AAPL,12/30/16,0.047955332
AAPL,1/31/17,0.047746376
AAPL,2/28/17,0.133777516
AAPL,3/31/17,0.048689816
AAPL,4/28/17,-6.94E-05
AAPL,5/31/17,0.067807111
AAPL,6/30/17,-0.057213573
AAPL,7/31/17,0.032703399
AAPL,8/31/17,0.106999682
AAPL,9/29/17,-0.060243836
AAPL,10/31/17,0.09680732
AAPL,11/30/17,0.020278131
AAPL,12/29/17,-0.01524589
AAPL,1/31/18,-0.010636544
AAPL,2/28/18,0.068185342
AAPL,3/29/18,-0.058050817
AAPL,4/30/18,-0.015019789
AAPL,5/31/18,0.135123979
AAPL,6/29/18,-0.009418285
AAPL,7/31/18,0.027983372
AAPL,8/31/18,0.20042215
AAPL,9/28/18,-0.008302916
AAPL,10/31/18,-0.030477606
AAPL,11/30/18,-0.181197455
AAPL,12/28/18,-0.125154077
GOOG,1/31/14,0.060954838
GOOG,2/28/14,0.029365642
GOOG,3/31/14,-0.082750835
GOOG,4/30/14,-0.054419464
GOOG,5/30/14,0.063095781
GOOG,6/30/14,0.027487573
GOOG,7/31/14,-0.006396982
GOOG,8/29/14,0
GOOG,9/30/14,0.010077031
GOOG,10/31/14,-0.031661373
GOOG,11/28/14,-0.030854243
GOOG,12/31/14,-0.02847758
GOOG,1/30/15,0.015425518
GOOG,2/27/15,0.044675604
GOOG,3/31/15,-0.018624597
GOOG,4/30/15,-0.016760451
GOOG,5/29/15,-0.009733204
GOOG,6/30/15,-0.021800005
GOOG,7/31/15,0.201917396
GOOG,8/31/15,-0.011764518
GOOG,9/30/15,-0.015899717
GOOG,10/30/15,0.168288386
GOOG,11/30/15,0.044723624
GOOG,12/31/15,0.021922946
GOOG,1/29/16,-0.020991487
GOOG,2/29/16,-0.060811604
GOOG,3/31/16,0.067615432
GOOG,4/29/16,-0.069722798
GOOG,5/31/16,0.061629643
GOOG,6/30/16,-0.059288834
GOOG,7/29/16,0.110807658
GOOG,8/31/16,-0.002263245
GOOG,9/30/16,0.013349768
GOOG,10/31/16,0.009327356
GOOG,11/30/16,-0.03377778
GOOG,12/30/16,0.01817846
GOOG,1/31/17,0.032352103
GOOG,2/28/17,0.033158047
GOOG,3/31/17,0.00771373
GOOG,4/28/17,0.092096989
GOOG,5/31/17,0.065013908
GOOG,6/30/17,-0.058174222
GOOG,7/31/17,0.023956532
GOOG,8/31/17,0.009489457
GOOG,9/29/17,0.021057627
GOOG,10/31/17,0.059982669
GOOG,11/30/17,0.004691887
GOOG,12/29/17,0.024466199
GOOG,1/31/18,0.118061965
GOOG,2/28/18,-0.055737933
GOOG,3/29/18,-0.066025183
GOOG,4/30/18,-0.01401446
GOOG,5/31/18,0.066507405
GOOG,6/29/18,0.028258343
GOOG,7/31/18,0.091076913
GOOG,8/31/18,7.64E-04
GOOG,9/28/18,-0.020292401
GOOG,10/31/18,-0.097782081
GOOG,11/30/18,0.016400884
GOOG,12/28/18,-0.052401707
NFLX,1/31/14,0.128190311
NFLX,2/28/14,0.088681496
NFLX,3/31/14,-0.210039721
NFLX,4/30/14,-0.085191627
NFLX,5/30/14,0.297447508
NFLX,6/30/14,0.054495846
NFLX,7/31/14,-0.040580983
NFLX,8/29/14,0.12992044
NFLX,9/30/14,-0.055397343
NFLX,10/31/14,-0.129460501
NFLX,11/28/14,-0.117575207
NFLX,12/31/14,-0.014368511
NFLX,1/30/15,0.293287615
NFLX,2/27/15,0.074943398
NFLX,3/31/15,-0.122591639
NFLX,4/30/15,0.33552523
NFLX,5/29/15,0.12140161
NFLX,6/30/15,0.052687255
NFLX,7/31/15,0.218025971
NFLX,8/31/15,0.00629867
NFLX,9/30/15,-0.102321108
NFLX,10/30/15,0.049583526
NFLX,11/30/15,0.137940629
NFLX,12/31/15,-0.072569568
NFLX,1/29/16,-0.197062437
NFLX,2/29/16,0.017095036
NFLX,3/31/16,0.094422424
NFLX,4/29/16,-0.119338782
NFLX,5/31/16,0.139286917
NFLX,6/30/16,-0.108121254
NFLX,7/29/16,-0.002514243
NFLX,8/31/16,0.067945173
NFLX,9/30/16,0.011287902
NFLX,10/31/16,0.267072544
NFLX,11/30/16,-0.063025569
NFLX,12/30/16,0.058119684
NFLX,1/31/17,0.136591305
NFLX,2/28/17,0.010091663
NFLX,3/31/17,0.039963363
NFLX,4/28/17,0.029700285
NFLX,5/31/17,0.071419252
NFLX,6/30/17,-0.083767722
NFLX,7/31/17,0.215849
NFLX,8/31/17,-0.038258267
NFLX,9/29/17,0.038005831
NFLX,10/31/17,0.083154047
NFLX,11/30/17,-0.045054174
NFLX,12/29/17,0.023350064
NFLX,1/31/18,0.408105742
NFLX,2/28/18,0.077987488
NFLX,3/29/18,0.013624823
NFLX,4/30/18,0.057931216
NFLX,5/31/18,0.125264085
NFLX,6/29/18,0.1132821
NFLX,7/31/18,-0.13790456
NFLX,8/31/18,0.089583583
NFLX,9/28/18,0.017542461
NFLX,10/31/18,-0.193381993
NFLX,11/30/18,-0.05185895
NFLX,12/28/18,-0.105022254
